suburb,date,price
Theodore,2011-03-03,428100
Forde,2011-03-03,233000
Watson,2011-03-03,580000
Forde,2011-03-03,350000
Forde,2011-03-03,338000
Forde,2011-03-03,366000
Kambah,2011-03-03,540000
Downer,2011-03-03,647750
Harrison,2011-03-03,587000
Kambah,2011-03-03,585000
Forde,2011-03-03,343000
Ngunnawal,2011-03-03,390000
Forde,2011-03-03,270000
Forde,2011-03-03,338000
Flynn,2011-03-04,440000
Palmerston,2011-03-04,537000
Bruce,2011-03-04,750000
Evatt,2011-03-04,465000
Casey,2011-03-04,270000
Casey,2011-03-04,520000
Downer,2011-03-04,571500
Gungahlin,2011-03-04,611000
Deakin,2011-03-04,950000
Casey,2011-03-04,365000
Casey,2011-03-04,255000
Ainslie,2011-03-04,635000
Kambah,2011-03-04,455000
Waramanga,2011-03-04,538000
Greenway,2011-03-04,595000
Conder,2011-03-04,480000
Holt,2011-03-04,505000
Bonner,2011-03-04,260000
Calwell,2011-03-04,425000
Crace,2011-03-04,332500
Casey,2011-03-04,262500
Ngunnawal,2011-03-04,485000
Holt,2011-03-04,430000
Curtin,2011-03-04,610000
Aranda,2011-03-04,590000
Dunlop,2011-03-04,565000
Curtin,2011-03-05,568000
Narrabundah,2011-03-05,618000
Isabella Plains,2011-03-05,516000
Torrens,2011-03-05,572000
Wanniassa,2011-03-05,535000
Deakin,2011-03-05,945000
Downer,2011-03-05,637000
Gordon,2011-03-05,654000
Farrer,2011-03-05,448500
Curtin,2011-03-05,850000
Wanniassa,2011-03-05,482000
Conder,2011-03-05,538000
Torrens,2011-03-05,511000
Narrabundah,2011-03-05,522000
Fadden,2011-03-05,810000
Ainslie,2011-03-05,870000
Curtin,2011-03-05,702000
Deakin,2011-03-05,940000
Kaleen,2011-03-05,699000
Griffith,2011-03-07,1100000
Kaleen,2011-03-07,380000
Forde,2011-03-07,660000
Crace,2011-03-07,500000
Casey,2011-03-07,252500
Higgins,2011-03-07,410000
Florey,2011-03-07,505000
Latham,2011-03-07,480500
Ngunnawal,2011-03-07,100000
Casey,2011-03-07,256000
Crace,2011-03-07,265500
Forrest,2011-03-07,2911080
Gilmore,2011-03-07,442500
Casey,2011-03-07,247500
Casey,2011-03-07,307000
Florey,2011-03-07,606000
Palmerston,2011-03-07,665000
Kaleen,2011-03-07,487500
Casey,2011-03-07,233000
Casey,2011-03-07,239000
Scullin,2011-03-08,434000
Monash,2011-03-08,490000
Charnwood,2011-03-08,390000
Casey,2011-03-08,525000
Franklin,2011-03-08,580000
Kaleen,2011-03-08,660000
Forde,2011-03-08,283000
Ngunnawal,2011-03-08,1100000
Curtin,2011-03-08,1120000
Wanniassa,2011-03-08,540000
Banks,2011-03-08,750000
Amaroo,2011-03-08,945000
Kambah,2011-03-08,446000
Isaacs,2011-03-08,667000
Wanniassa,2011-03-09,520000
Forde,2011-03-09,780000
Casey,2011-03-09,295000
Chifley,2011-03-09,570000
Forde,2011-03-09,300000
Deakin,2011-03-09,1200000
Calwell,2011-03-09,365000
Casey,2011-03-09,480000
Watson,2011-03-09,444900
Farrer,2011-03-09,920000
Kambah,2011-03-09,424590
Latham,2011-03-09,480000
Farrer,2011-03-09,710000
Gordon,2011-03-09,650000
Forde,2011-03-09,411500
Dunlop,2011-03-09,499000
Holt,2011-03-09,430000
Campbell,2011-03-09,694000
Amaroo,2011-03-10,683000
Bonner,2011-03-10,540000
Crace,2011-03-10,318500
Crace,2011-03-10,296000
Forrest,2011-03-10,1700000
Crace,2011-03-10,480000
Casey,2011-03-10,315000
Fraser,2011-03-10,555000
Spence,2011-03-10,543000
Gowrie,2011-03-10,555000
Chisholm,2011-03-10,452500
Gordon,2011-03-10,379000
Duffy,2011-03-10,737000
Downer,2011-03-11,560000
Fraser,2011-03-11,517000
Red Hill,2011-03-11,950000
Bonner,2011-03-11,835000
Evatt,2011-03-11,445000
Wanniassa,2011-03-11,465000
Aranda,2011-03-11,645000
Forde,2011-03-11,595000
Chapman,2011-03-11,975000
Chisholm,2011-03-11,465000
Ngunnawal,2011-03-11,485000
Scullin,2011-03-11,410000
Casey,2011-03-11,555000
Kambah,2011-03-11,600000
Dunlop,2011-03-11,567632
Chapman,2011-03-12,1235000
O'Malley,2011-03-12,1750000
Evatt,2011-03-12,446000
Dunlop,2011-03-14,565000
Wanniassa,2011-03-15,615000
Duffy,2011-03-15,507500
Bonner,2011-03-15,470000
Weetangera,2011-03-15,720000
Bonner,2011-03-15,223000
Latham,2011-03-15,440000
Gordon,2011-03-15,450000
Turner,2011-03-15,1275000
Calwell,2011-03-15,485000
Gowrie,2011-03-15,490000
Kambah,2011-03-15,769000
Scullin,2011-03-16,561000
Kambah,2011-03-16,440000
O'Connor,2011-03-16,731000
Dunlop,2011-03-16,555000
Watson,2011-03-16,570000
Banks,2011-03-16,620000
Nicholls,2011-03-16,1100000
Lyneham,2011-03-16,602000
Weetangera,2011-03-16,476250
Casey,2011-03-16,187000
Kambah,2011-03-16,857500
Narrabundah,2011-03-16,771000
Charnwood,2011-03-16,382000
Ainslie,2011-03-16,241667
Pearce,2011-03-16,545000
Flynn,2011-03-16,372500
Stirling,2011-03-17,440000
Palmerston,2011-03-17,655100
Holt,2011-03-17,395000
Bonython,2011-03-17,567000
Evatt,2011-03-17,435000
Holt,2011-03-17,405000
Gungahlin,2011-03-17,472500
Forde,2011-03-17,311000
Charnwood,2011-03-17,395000
Flynn,2011-03-17,556000
Casey,2011-03-18,560000
Rivett,2011-03-18,418000
Bonython,2011-03-18,445000
Palmerston,2011-03-18,460000
Crace,2011-03-18,263000
Crace,2011-03-18,530000
Casey,2011-03-18,275000
Spence,2011-03-18,485000
Deakin,2011-03-18,1015000
Evatt,2011-03-18,520000
Lyneham,2011-03-18,645000
Kambah,2011-03-18,400000
Torrens,2011-03-18,470000
Casey,2011-03-18,216000
Ngunnawal,2011-03-18,512500
Downer,2011-03-18,631500
Duffy,2011-03-18,890000
Casey,2011-03-18,498950
Holt,2011-03-18,400000
Farrer,2011-03-18,750000
Hackett,2011-03-19,970000
Pearce,2011-03-19,820000
Griffith,2011-03-19,1310000
Conder,2011-03-19,576000
Evatt,2011-03-19,482000
Evatt,2011-03-19,490000
Griffith,2011-03-19,895000
Gordon,2011-03-19,687000
Isaacs,2011-03-19,982000
Ainslie,2011-03-19,694000
Hughes,2011-03-19,601000
Campbell,2011-03-19,900000
McKellar,2011-03-19,805000
Deakin,2011-03-19,1230000
Deakin,2011-03-20,790000
Dunlop,2011-03-21,585000
Chapman,2011-03-21,445000
Waramanga,2011-03-21,478000
Casey,2011-03-21,240000
Torrens,2011-03-21,590000
Giralang,2011-03-21,610000
Forde,2011-03-21,323000
Lyneham,2011-03-21,615550
Casey,2011-03-21,430000
Kaleen,2011-03-21,505000
Conder,2011-03-21,353000
Duffy,2011-03-21,635000
Higgins,2011-03-21,395000
Franklin,2011-03-21,410000
Narrabundah,2011-03-21,685000
Forde,2011-03-21,510000
Nicholls,2011-03-21,525000
